"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 21 03:15:49 UTC 2023","Thu Sep 21 03:16:13 UTC 2023","23530","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Thu Sep 21 03:11:44 UTC 2023","Thu Sep 21 03:11:55 UTC 2023","11472","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Thu Sep 21 03:11:42 UTC 2023","Thu Sep 21 03:11:44 UTC 2023","1398","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Thu Sep 21 02:46:49 UTC 2023","Thu Sep 21 02:46:50 UTC 2023","497","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Thu Sep 21 03:31:19 UTC 2023","Thu Sep 21 03:31:22 UTC 2023","3441","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"failed","Thu Sep 21 02:57:19 UTC 2023","Thu Sep 21 02:59:04 UTC 2023","105454","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Thu Sep 21 03:45:30 UTC 2023","Thu Sep 21 03:45:32 UTC 2023","2613","","20. Admin Portal - Check details","","","","5. Check Investor Panel",""
"passed","Thu Sep 21 03:24:13 UTC 2023","Thu Sep 21 03:24:27 UTC 2023","13834","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Thu Sep 21 02:49:18 UTC 2023","Thu Sep 21 02:49:21 UTC 2023","2375","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Thu Sep 21 02:26:17 UTC 2023","Thu Sep 21 02:26:26 UTC 2023","9014","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","2. Create new Personal Super Account",""
"passed","Thu Sep 21 02:22:06 UTC 2023","Thu Sep 21 02:22:52 UTC 2023","45669","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Thu Sep 21 02:19:02 UTC 2023","Thu Sep 21 02:19:25 UTC 2023","23047","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","6. Complete Build Your Portfolio",""
"passed","Thu Sep 21 03:31:09 UTC 2023","Thu Sep 21 03:31:13 UTC 2023","3606","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Thu Sep 21 02:45:51 UTC 2023","Thu Sep 21 02:45:54 UTC 2023","3168","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Thu Sep 21 02:21:42 UTC 2023","Thu Sep 21 02:22:01 UTC 2023","19075","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Thu Sep 21 03:31:55 UTC 2023","Thu Sep 21 03:31:58 UTC 2023","2331","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Thu Sep 21 03:18:17 UTC 2023","Thu Sep 21 03:18:37 UTC 2023","19777","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
